,Unnamed: 0,Unnamed: 0.1,L_box,minPts_box,c_id,source_id,l,b,ra,dec,ra_error,dec_error,parallax,parallax_error,pmra,pmdec,pmra_error,pmdec_error,dr2_radial_velocity,dr2_radial_velocity_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,Nclusters
71325,71325,71325,10,10,1356,253536699788377728,158.60117695137654,-1.5859981331265156,68.73997537916246,45.24515297098064,0.019782748,0.013213707,0.3300543470018177,0.024538852,0.9734067217774552,-1.9444529248087168,0.026467413,0.021491705,,,14.59636,15.059174,13.94454,47
71326,71326,71326,10,10,1356,253536734148123904,158.5898041394897,-1.6077795905495718,68.70626475964234,45.2388072047175,0.030672986,0.017331336,0.2905888832768316,0.03629818,0.9275508758235296,-1.9278925467896768,0.042828612,0.029425774,,,15.39729,15.874983,14.729396,47
71327,71327,71327,10,10,1356,253536764207134208,158.59537347094644,-1.5839510460437805,68.73654969814193,45.250812328660594,0.06441809,0.04216301,0.3071476453787999,0.07782352,0.7656499485814314,-2.066707007998769,0.09475249,0.07475126,,,17.043678,17.738844,16.222467,47
71328,71328,71328,10,10,1356,253536768507849728,158.58690266027563,-1.575387695233586,68.73738622629418,45.26284080855105,0.032457344,0.020707708,0.3555821250951708,0.040747155,1.022698911350622,-2.017934833252458,0.046180576,0.035104726,,,15.733251999999998,16.226536,15.055784,47
71329,71329,71329,10,10,1356,253536768507856256,158.59488126939692,-1.5921144073353295,68.72753169413804,45.24565745904202,0.05995139,0.036791474,0.2942074684746636,0.07547608,0.89914755783169,-1.9521513433372544,0.08851076,0.06740294,,,16.897446,17.550936,16.104284,47
71330,71330,71330,10,10,1356,253536798566875136,158.60590526904414,-1.5701433879156077,68.76111274903158,45.25238198368279,0.071171135,0.047989048,0.3911503549163132,0.083911665,0.8092232201302828,-1.958099889683571,0.10090046,0.0829425,,,17.273613,18.098806,16.374756,47
71331,71331,71331,10,10,1356,253536798566885632,158.59762587883205,-1.5691150844617172,68.75424605738975,45.259178235730325,0.09738654,0.06529454,0.2740206376950378,0.11766042,0.9244234527702812,-2.0836500397123645,0.13517466,0.11013008,,,17.769342,18.530254,16.897234,47
71332,71332,71332,10,10,1356,253536802867587328,158.60132895380238,-1.5705422883842206,68.75630448822821,45.25548501964915,0.018784897,0.011501034,0.3365719133686486,0.022982039,0.8875418309841924,-1.8938513056031088,0.024339112,0.01985578,,,13.958985,14.454607,13.276723,47
71333,71333,71333,10,10,1356,253536802867587840,158.59908591288553,-1.5724357174721333,68.75216945411546,45.255858605907896,0.015879506,0.010048168,0.3079226126431326,0.019967714,1.154539569441655,-1.9865314314522216,0.021103123,0.017726185,,,13.967276000000002,14.386981,13.359281,47
71334,71334,71334,10,10,1356,253536832925499264,158.59680026581668,-1.559354353369663,68.76367743725629,45.26638139434071,0.014557983,0.008970182,0.4195242374105965,0.017992977,0.8311309119309604,-1.97701846631536,0.019589394,0.015191265,-1.1465086000000002,0.118184,12.782129,13.923617000000002,11.72996,47
71335,71335,71335,10,10,1356,253536832926641024,158.5959114543716,-1.551654583649421,68.77089116176916,45.27223814589868,0.04856062,0.031925473,0.207701143114959,0.058457352,0.9006008749746532,-2.1196302018485795,0.06611317,0.05273014,,,16.563004,17.292189999999998,15.727312,47
71336,71336,71336,10,10,1356,253536837227318272,158.59626655207782,-1.54707051249197,68.77603505952415,45.275072972719386,0.03740706,0.025677033,0.2551975992554695,0.046711195,0.990788510295985,-1.9514031433311392,0.051124714,0.04484892,,,16.0973,16.655079999999998,15.371587,47
71337,71337,71337,10,10,1356,253536837227319168,158.59901735839676,-1.5541366698383337,68.77127086240822,45.26827217805885,0.028164107,0.018207923,0.2373456180770577,0.033020575,0.8919032227993247,-2.0210873872038446,0.036775354,0.0304378,,,15.296025,15.829495,14.58767,47
71338,71338,71338,10,10,1356,253536837227320192,158.60309035565328,-1.5549982086218428,68.77427604755005,45.26468807702153,0.015930371,0.0105742139999999,0.3224915789315947,0.01912201,0.9820051720802953,-2.0854196112176218,0.021959487,0.018339992,,,14.045251,14.544144,13.361837,47
71339,71339,71339,10,10,1356,253536837227323264,158.6072497667285,-1.564032311213003,68.76880288778963,45.25551959060155,0.023852585,0.015948355,0.2991396672703299,0.028896974,0.947849384403864,-2.028588509796874,0.033348195,0.027682299,,,15.10264,15.609216,14.402512,47
71340,71340,71340,10,10,1356,253536867286377472,158.59100173571164,-1.5594936859329491,68.75796705729152,45.27056063300646,0.032359887,0.020800631,0.3426200274504141,0.039521147,1.0048634901878648,-2.3165989485305767,0.04614235,0.036543168,,,15.766404,16.302554999999998,15.058172,47
71341,71341,71341,10,10,1356,253536867286380032,158.58537648698427,-1.56396710423145,68.74788217894769,45.27168324679204,0.10711164,0.06619332,0.4089862840863765,0.12531377,0.9282368943919826,-1.9911879621301185,0.1729633,0.119018525,,,17.89455,18.789267,17.001986,47
