# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Wed Feb 23 17:37:02 CET 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Attention: photometry includes extinction of Av=2.14, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.01471 0.00000 8.47000 1.1499999762 2.4996678829    1.149  0.188  3.7949  4.442    0  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -8.52e-14      0.00 7.155e-01 2.699e-01 2.581e-03 7.049e-04 6.404e-03 -1.000 1.452e-02 4.300 5.956 6.676 5.115
0.01471 0.00000 8.47000 1.2000000477 2.5068950653    1.200  0.279  3.8048  4.409    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -9.69e-14      0.00 7.156e-01 2.699e-01 2.583e-03 7.055e-04 6.409e-03 -1.000 1.455e-02 4.073 5.742 6.440 4.915
0.01471 0.00000 8.47000 1.2500000000 2.5134611130    1.250  0.365  3.8143  4.379    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.08e-13      0.00 7.157e-01 2.698e-01 2.583e-03 7.054e-04 6.409e-03 -1.000 1.454e-02 3.857 5.539 6.217 4.727
0.01471 0.00000 8.47000 1.2999999523 2.5194499493    1.300  0.447  3.8234  4.351    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.18e-13      0.00 7.158e-01 2.696e-01 2.582e-03 7.052e-04 6.406e-03 -1.000 1.454e-02 3.653 5.346 6.005 4.547
0.01471 0.00000 8.47000 1.3499999046 2.5249314308    1.350  0.524  3.8328  4.327    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.24e-13      0.00 7.157e-01 2.698e-01 2.583e-03 7.054e-04 6.409e-03 -1.000 1.455e-02 3.459 5.164 5.804 4.378
0.01471 0.00000 8.47000 1.3999999762 2.5299651623    1.400  0.598  3.8425  4.308    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.26e-13      0.00 7.157e-01 2.697e-01 2.582e-03 7.053e-04 6.407e-03 -1.000 1.455e-02 3.275 4.994 5.614 4.222
0.01471 0.00000 8.47000 1.4500000477 2.5346016884    1.450  0.668  3.8532  4.296    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.23e-13      0.00 7.159e-01 2.696e-01 2.581e-03 7.050e-04 6.405e-03 -1.000 1.453e-02 3.101 4.834 5.433 4.079
0.01471 0.00000 8.47000 1.5000000000 2.5388846397    1.500  0.736  3.8656  4.293    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.14e-13      0.00 7.160e-01 2.694e-01 2.580e-03 7.047e-04 6.402e-03 -1.000 1.457e-02 2.931 4.684 5.258 3.947
0.01471 0.00000 8.47000 1.5499999523 2.5428512096    1.550  0.801  3.8789  4.295    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -9.72e-14      0.00 7.161e-01 2.693e-01 2.578e-03 7.044e-04 6.399e-03 -1.000 1.456e-02 2.768 4.543 5.092 3.827
0.01471 0.00000 8.47000 1.6000000238 2.5465342999    1.600  0.863  3.8917  4.298    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -7.35e-14      0.00 7.163e-01 2.691e-01 2.578e-03 7.041e-04 6.397e-03 -1.000 1.454e-02 2.612 4.411 4.935 3.716
